Mouse gene name	Gene name
Tnfsf11	TNFSF11
	NOP9
	DNAJC18
Fam216b	FAM216B
	AC118282.5
	AC118282.9
	LINC01050
	AC118282.8
	LINC00428
	SNX18P23
	AC118282.6
	MTCO3P39
	MTND3P22
Epsti1	EPSTI1
	AC118282.7
	AC270106.1
	CIDEB
	ZDHHC4P1
Dnajc15	DNAJC15
	MIR939
	MIR1234
	MIR6849
	AC233992.5
	LTB4R2
	LINC00400
	SLC39A4
	AL138709.1
Enox1	ENOX1
	LTB4R
	RPL36P19
	ENOX1-AS2
	AC147067.4
	ENOX1-AS1
	AC147067.3
	AL161714.1
	AL162713.2
	AC147067.5
	AL162713.1
Ccdc122	CCDC122
	ADCY4
	AL512506.1
Lacc1	LACC1
Lacc1	AL512506.3
	AL512506.2
	NRAD1
	VPS28
	DGKZP1
	LINC00390
	SMIM2-AS1
	SMIM2
	SMIM2-IT1
	AL589745.2
	MIR8079
	AL589745.1
	AL138960.1
Serp2	SERP2
	TUSC8
Tsc22d1	TSC22D1
	AL138960.2
	AL139184.1
	TSC22D1-AS1
	SMARCE1P5
	LINC00407
	AL356515.1
	LINC00330
Nufip1	NUFIP1
	AL359706.1
	GPALPP1
	AL096870.8
	RIPK3
	RN7SL49P
	RN7SKP3
Gtf2f2	GTF2F2
	RN7SKP4
	AL138693.1
Kctd4	KCTD4
	AL138963.2
	AL096870.7
Tpt1	TPT1
	NFATC4
	SNORA31B
	SNORA31
	AL138963.3
	TPT1-AS1
	AL138963.1
	RCN1P2
Slc25a30	SLC25A30
	SLC25A30-AS1
	PPIAP25
Cog3	COG3
	ERICH6B
Atp5o	ATP5PO
	RNA5SP27
	TIMM9P3
	COX4I1P2
	LINC01055
	AKR1B1P4
	MDN1
Cby2	CBY2
	Metazoa_SRP
Siah3	SIAH3
Zc3h13	ZC3H13
	CPB2-AS1
	LINC00649
Cpb2	CPB2
	RN7SL740P
	AP000569.1
Mrps6	MRPS6
Slc5a3	SLC5A3
	AP000317.2
	RPS5P2
	LINC00310
	AP000317.1
	AP000320.1
Kcne2	KCNE2
Lcp1	LCP1
	SMIM11A
	MGAT4C
Fam243	FAM243A
	AP000322.2
	SMIM34A
	AP000322.1
Kcne1	KCNE1
	AP000324.1
	RN7SL288P
Rcan1	RCAN1
Lrrc63	LRRC63
	RN7SKP5
	PIMREGP3
	ABITRAMP1
	AL139801.1
	LINC00563
	CASP8AP2
Rubcnl	RUBCNL
Clic6	CLIC6
	LINC00160
	LINC01426
Runx1	RUNX1
	AL353692.5
	RPL22P14
	AL353692.3
	GJA10
	AL353692.6
	RNU2-6P
Gm24674	RNU6-68P
	PPP1R2P4
	LINC01198
	AP000331.1
	AF015262.1
	RPL34P3
	EZH2P1
	AF015720.1
	MIR802
	RPS20P1
	PPP1R2P2
	LINC01436
	RPL23AP3
	AL138686.2
	OR7E101P
	AL138686.1
	COX17P1
	FKBP1AP3
Setd4	SETD4
Lrch1	LRCH1
	AL359880.1
Esd	ESD
Htr2a	HTR2A
	HTR2A-AS1
	GNG5P5
	RN7SL700P
	RIMKLBP1
	SETD4-AS1
	RNU6-992P
	AP000688.1
Cbr1	CBR1
Gm5678	CBR1
Sucla2	SUCLA2
	AP000688.3
	AP000688.2
	MEMO1P1
	CBR3-AS1
	AL136038.5
	SGPP1
	EIF2S2P1
	AL161670.2
	RPS9P1
	AL161670.4
Cbr3	CBR3
	RPS28P1
	AC142391.2
Dop1b	DOP1B
	NAP1L4P3
	RPL27AP8
	AL138962.1
	RPL3P1
	LINC00562
	SRSF9P1
	AP000692.2
	AL157369.1
	SUCLA2-AS1
Nudt15	NUDT15
Morc3	MORC3
	AL158196.1
Med4	MED4
	AC142391.3
	MED4-AS1
	POLR2KP2
	ECSCR
	AP000692.1
Chaf1b	CHAF1B
Itm2b	ITM2B
	ATP5MFP1
	AP000695.1
	AP000695.2
Cldn14	CLDN14
	RB1-DT
Rb1	RB1
	AP000695.3
	PSMD4P1
	AP000696.2
	AP000696.3
	AP000696.1
	AP000697.1
Sim2	SIM2
	PPP1R26P1
	PCNPP5
	AL392048.1
Lpar6	LPAR6
Hlcs	HLCS
	Metazoa_SRP
Rcbtb2	RCBTB2
	HLCS-IT1
	RNA5SP491
	DPRXP5
	AP000704.1
	Y_RNA
	MRPL20P1
Ripply3	RIPPLY3
	RNU6-696P
Pigp	PIGP
Ttc3	TTC3
	AL157813.2
	AL157813.1
	LINC01077
	LINC00462
	CYSLTR2
	PSME2P2
	AL161421.1
Fndc3a	FNDC3A
	OFD1P3Y
	RNU6-60P
	RAD17P2
	RNY3P2
	COX7CP1
	OGFOD1P1
	MLNR
	AL137000.1
Cdadc1	CDADC1
	HSD17B7P2
	SEPTIN7P9
Cab39l	CAB39L
	AL133216.7
	AL133216.4
	CICP9
	AL133216.6
	ABCD1P2
	AL133173.4
	PABPC1P12
	SLC9B1P3
	ACTR3BP5
	CHEK2P5
	SMIM33
	AL133173.7
	AL133173.9
Setdb2	SETDB2
	SNRPGP14
Phf11b	PHF11
Phf11a	PHF11
Phf11d	PHF11
Phf11c	PHF11
	AP001429.1
	TTC3-AS1
	DSCR9
	RN7SL678P
Vps26c	VPS26C
	AP001432.1
	AP001412.1
	AP001437.2
	STING1
	AP001437.1
Rcbtb1	RCBTB1
Dyrk1a	DYRK1A
	AL135901.1
Arl11	ARL11
Ebpl	EBPL
Kpna3	KPNA3
	LINC00871
	AL136301.1
	RNY4P30
	MIR4789
	CTAGE10P
	AC008180.1
	AC008180.2
	RNY4P9
Spryd7	SPRYD7
	DLEU2
Trim13	TRIM13
	MIR3613
Kcnrg	KCNRG
	AL137060.9
	AL137060.7
	MIR16-1
Mir15a	MIR15A
	AL137060.4
	AL137060.2
	AL137060.8
Gm27972	AL137060.5
	DLEU1
	AC005342.5
	CACNA1C-IT1
	AP001407.1
	CACNA1C-IT2
	AC005344.3
Kcnj6	KCNJ6
	CACNA1C-AS4
	AL137060.6
	RPL18P10
Gm27928	AL137060.1
	AL137060.3
	CACNA1C-IT3
	ST13P4
	AC005293.2
	RPL34P26
	KCNJ6-AS1
	AL158195.1
	AC005414.2
	DSCR4
	CACNA1C-AS3
Dleu7	DLEU7
	AC007618.2
	DSCR4-IT1
	DSCR8
	CACNA1C-AS2
	CACNA1C-AS1
	RNA5SP28
	RNASEH2B-AS1
	ITFG2-AS1
Kcnj15	KCNJ15
Rnaseh2b	RNASEH2B
	AP001425.1
	DSCR10
	AP001434.1
	SPATA20P1
	LINC01423
Erg	ERG
	PPFIA1
	SNRPGP13
	AP001037.1
	LINC00114
	H2AZP4
	AP002336.6
	MIR548K
	AP002336.5
	AP002336.4
	AP000487.4
	AP000487.3
	SYT8
Ets2	ETS2
	CTTN
	AC136759.2
	AC130364.5
	AC130364.4
	TRIM51FP
	TNNI2
	AP001042.1
	AP001042.2
	AP001042.3
	AP001043.1
	SNORA62
	RPSAP64
	LINC01700
	LSP1
	AF064858.1
	AF064858.3
	AF064858.2
	RPL23AP12
	PCBP2P1
	AF129408.2
Psmg1	PSMG1
	MG910337.1
	MG910337.3
	MG910337.2
Brwd1	BRWD1
	MIR4298
	AC051649.8
	MIR7847
	PRR33
	GUCY1B2
	TNNT3
	AF129408.1
	TIMM9P2
	BRWD1-IT1
	METTL21AP1
	BRWD1-AS2
	BRWD1-AS1
	RNA5SP29
Hmgn1	HMGN1
Gm4131	C13orf42
	RPL5P31
	AL157817.1
	PRELID3BP2
Fam124a	FAM124A
Serpine3	SERPINE3
	MIR5693
Ints6	INTS6
	Y_RNA
	RNF6P1
Get1	GET1
	AP000648.5
	AP000648.10
	INTS6-AS1
	AP000648.6
	AP000648.8
	NAALAD2
	RPS4XP16
	RN7SL320P
	SNRPGP11
	MIR4703
	RNU6-65P
Sh3bgr	GET1-SH3BGR
Wdfy2	WDFY2
	RNY1P6
	RN7SL413P
	ATP5PBP1
	AL162377.3
Lca5l	LCA5L
	LINC01150
	DHRS12
	MRPL23
	AP000648.7
	AL162377.1
	TMEM272
	CHORDC1
Ccdc70	CCDC70
	CTAGE3P
	AL162377.2
	MRPL23-AS1
	LINC01219
	H19
Atp7b	ATP7B
Sh3bgr	SH3BGR
	MIR6508
	MYL6P2
	RPS26P4
	JCADP1
B3galt5	B3GALT5
	AC051649.7
	MIR675
	AC051649.6
	B3GALT5-AS1
	AF064860.1
	AF064860.2
	IGSF5
	AP002364.3
Pcp4	PCP4
	TUBAP2
	AC010931.3
Dscam	DSCAM
	ISLR
	STRA6
	MIR4760
	DSCAM-AS1
Gm25973	AF064863.1
	DSCAM-IT1
	AF064866.1
	YRDCP3
	AL773573.1
	LINC00323
	MIR3197
Bace2	BACE2
	PLAC4
	BACE2-IT1
Fam3b	FAM3B
	MX2
	TNRC6A
Mx1	MX1
Mx2	MX1
	AP001610.2
	FABP5P2
	AC008731.2
Alg11	ALG11
Tmprss2	TMPRSS2
	SLC5A11
Utp14a	UTP14C
Utp14b	UTP14C
Nek5	NEK5
	AC017091.2
	LINC02619
	AL139082.1
	LINC02429
Nek3	NEK3
	AC138517.3
	C1R
	CCDC33
Gm25876	AP001610.1
	AP001610.3
	AP006748.1
	PCSEAT
	LINC00111
	LINC00479
	NCOA4P4
	LINC00112
	AL158066.1
Ripk4	RIPK4
	MRPS31P5
	THSD1P1
	AL158066.2
	TPTE2P2
	AP001615.1
	MIR6814
	LINC02333
Thsd1	THSD1
Prdm15	PRDM15
	ARHGAP17
	RNY4P24
Vps36	VPS36
	AC023300.5
	AC023300.6
	AC023300.4
	CYP11A1
	AL359513.1
	C1RL
Ckap2	CKAP2
	PPIAP46
	AC090826.4
	AC090826.6
	LINC02255
	SEMA7A
	C1RL-AS1
	RBP5
	LINC00345
	AL137058.1
	AC233309.1
	AC018653.7
	AL137058.3
	AL137058.2
	MRPS31P4
	HNRNPA1L2
	MIR6881
	AC090826.7
	CLSTN3
	SUGT1-DT
Sugt1	SUGT1
	UBL7
	ATP4B
	GRK1
Cnmd	CNMD
	LINC00552
	MIR759
	PPIAP26
Pcdh8	PCDH8
Olfm4	OLFM4
	LINC01065
	AC018653.6
	AL136359.1
	AC018653.5
	PCDH8P1
	AL356295.1
	RN7SL618P
	AL450423.2
	AL450423.1
	AP001619.2
	ZNF646P1
	AP001619.1
	LINC00558
Gm24698	AP001619.3
Snora3	AP001619.3
C2cd2	C2CD2
	LINC00458
	AL356052.1
	MIR1297
	RPL13AP25
	AL442636.1
	AL512655.1
	PEX5
	AL390964.1
Zbtb21	ZBTB21
	AC093627.26
	AC093627.24
	AC093627.23
	AC093627.29
	ZNF295-AS1
	LINC02335
	AL139038.1
	MIR5007
	AL354821.1
	HNF4GP1
	AL138997.1
	SPATA2P1
	AC093627.27
	RN7SKP6
	PRR20A
	PRR20C
	AC093627.30
	AC093627.25
Umodl1	UMODL1
	PRR20B
	AC093627.28
	FAM20C
	PRR20D
	PRR20E
	PRR20FP
	MTCO2P3
	SLC25A5P4
	RPL31P53
Pcdh17	PCDH17
	AC145676.2
	AC187652.1
	AL445288.1
	RNA5SP30
	LINC02338
	UBL7-AS1
	LINC00374
	AL161423.1
	RNY4P29
	CTAGE16P
	DNAJA1P1
	HMGN2P39
	POLR3KP1
	AL159156.1
	RPP40P2
	RNU7-88P
	AC012435.4
	AC012435.5
	AC012435.6
Diaph3	DIAPH3
	UMODL1-AS1
Abcg1	ABCG1
	MG910339.2
	MG910339.1
	RNA5SP492
	TFF3
Tff2	TFF2
	AC018653.8
Tff1	TFF1
Tmprss3	TMPRSS3
	DIAPH3-AS1
	RN7SL375P
	DIAPH3-AS2
	RNY4P28
	LINC00434
	TARDBPP2
	AL359920.1
Tdrd3	TDRD3
	RNA5SP31
	LINC00378
	EIF4A1P6
	AL161901.1
	RNY3P5
	LINC01442
Ubash3a	UBASH3A
	MIR3169
Pcdh20	PCDH20
Pcdh20	AL592490.1
	LINC02339
	RAC1P8
	AL353765.1
	LINC00358
	LINC01075
	LINC01074
	LINC00459
	RPL32P28
	AL356102.1
	SQSTM1P1
	AL445668.1
	LINC00448
	AL354810.1
	LINC00376
	AL359208.1
	LINC00395
	OR7E156P
	AL445989.2
	AL445989.1
Gm24674	RNU6-81P
	PPP1R2P10
	AL445238.2
	LINC00355
	OR7E104P
	AL445238.1
	NFYAP1
	LGMNP1
	STARP1
	HNRNPA3P5
	LINC01052
	AL158038.1
	MIR548X2
	MIR4704
	TRIM60P19
	FO681492.2
Pcdh9	PCDH9
	LJII02000414.1
	AC245041.6
	RNU6-1149P
	NPY4R2
Rsph1	RSPH1
	PCDH9-AS1
	RNU7-87P
	AC245041.7
	PCDH9-AS2
	FAM25C
	PCDH9-AS3
	PCDH9-AS4
	AL160254.1
	AGAP12P
	RPSAP53
	LINC00364
	AL512452.1
	BCRP9
	NPM1P22
Slc37a1	SLC37A1
	OR7E111P
	AC245041.5
	OR7E33P
	BMS1P7
	PTPN20CP
	AL590027.1
	ELL2P3
	HNRNPA1P18
	RPL37P21
	RPS3AP52
	RPL12P34
	RN7SL761P
	LINC00550
	LINC02342
	ZDHHC20P4
	SNRPFP3
	LINC00383
	SRSF1P1
Klhl1	KLHL1
	AP001625.3
	AP001625.1
	AP001625.2
	LINC01671
	AP001626.1
	RNY3P10
	PSMC1P13
	ATXN8OS
	AL160391.1
	RNU6-54P
	AL445264.1
	MTCL1P1
	LINC00348
Pde9a	PDE9A
	RABEPKP1
Dach1	DACH1
	AC138701.4
	AC138701.3
	AC138701.5
	AC127381.3
	AC275546.3
	AC275546.4
	AC275546.1
	AC275546.2
	AC270129.2
	AC270129.3
	H3P36
	AC270129.1
	RPL21P109
	AC270129.4
	RPL35AP31
	RPS10P21
	AL139003.1
	AC275254.1
	RPL18AP17
	AL139003.2
	AL356754.2
	AC256223.3
	AL356754.1
	RPL21P110
Gm25367	RNU6-80P
Mzt1	MZT1
	AC256223.4
	AC256223.1
	AC256223.2
Bora	BORA
	AC275673.1
	OR4M2
	OR4N4
	AC270156.1
	AC270156.2
	AC270156.3
	AC275542.1
	AC256230.2
	AC256230.1
	AC275572.1
	AC270149.2
	AC270149.1
	POTEB
Dis3	DIS3
	AC140725.5
	OR4F4
	OR4G2P
	OR4G6P
	FAM138E
	AC140725.6
	MIR1302-10
	AC256234.2
	WASH3P
	AC256234.1
	AC255360.1
	AC269752.2
	AC269752.1
	AC270091.2
	AC270091.1
	AC278124.1
	AC275614.1
	AC256231.1
	AC256231.2
	AC256231.3
	AC256221.1
	AC256221.2
	MIR6859-3
	DDX11L9
	AC270239.2
	AC207582.2
	AC270239.1
	AC207582.1
	NIPA1
	CYFIP1
	AC270170.1
	GOLGA6L1
Pibf1	PIBF1
	GOLGA8DP
	AC275284.3
	AC275284.2
	AC275284.4
	AC275284.1
	GOLGA6L2
Gm23848	RNU6-79P
	PSMD10P3
	AC270153.1
Klf5	KLF5
	MAGEL2
	NDN
	AC087463.4
	FABP5P1
Gm22503	RNU6-66P
	RNU4-10P
	RNY1P8
	AL162376.1
	MARK2P12
	LINC00393
	LINC00392
Klf12	KLF12
	AL138713.1
	AL159972.1
	LINC00402
	AL353660.1
	RNY1P5
	RPL21P108
	AL355390.1
	LINC00381
	AL355390.2
	LINC00347
	RIOK3P1
Gm22977	RNU6-38P
	SSR1P2
	CTAGE11P
	LINC01078
Tbc1d4	TBC1D4
	AL139230.1
Commd6	COMMD6
Uchl3	UCHL3
Uchl4	UCHL3
	AL137782.1
	LMO7-AS1
Lmo7	LMO7
	MG910338.2
	MG910338.1
	MG910338.3
	MIR6724-3
	FP236383.15
	FP236383.22
	RNA5-8SN3
	FP236383.24
	FP236383.21
	FP236383.16
	FP236383.23
	MIR6724-4
	FP236383.19
	FP236383.17
	RNA5-8SN1
	FP236383.14
	FP236383.20
	FP236383.25
	FP236383.18
	MG910335.2
	MG910335.1
	MG910335.3
	MCTS1
	C1GALT1C1
	H3P46
	GLRX5P1
	CT47B1
	AC275592.3
	CT47A6
	CT47A4
	AC275592.2
	CT47A1
	AC275592.1
	AC006144.4
	GLUD2
	AC006144.3
	PDE9A-AS1
	LINC01668
	AP001628.2
	AP001628.1
Wdr4	WDR4
	AL137244.1
	FAM204CP
	LMO7DN
	LMO7DN-IT1
	LINC00561
	LINC01034
	RN7SL571P
	AL136441.1
	AL161717.1
	AL365394.1
Kctd12	KCTD12
	AC000403.1
	BTF3P11
Acod1	ACOD1
Ndufv3	NDUFV3
	RPL7P44
	DHX9P1
	ERVH48-1
	MIR5692B
	AP001630.1
Pknox1	PKNOX1
Cln5	CLN5
Cln5	AC001226.2
Fbxl3	FBXL3
Cbs	CBS
	MYCBP2-AS1
	AC001226.1
Mycbp2	MYCBP2
U2af1	U2AF1
	MYCBP2-AS2
	AL159158.1
Scel	SCEL
	AP001631.2
	MRPL51P2
	FRGCA
	AP001631.1
Cryaa	CRYAA
	LINC00322
	LINC01679
	AP001046.1
Sik1	SIK1
	LINC00319
	LINC00313
	AP001048.1
Hsf2bp	HSF2BP
	RPL31P1
	H2BS1
	MIR6070
Rrp1b	RRP1B
	AL137140.1
	SCEL-AS1
	RNY3P7
	SPTLC1P5
	AL450447.1
Pdxk	PDXK
Slain1	SLAIN1
	MIR3665
	EDNRB-AS1
Ednrb	EDNRB
Gatd3a	GATD3A
	AC136352.5
Gm25186	U6
Gm1123	AC136352.4
	AC136352.3
	OBI1-AS1
	U6
Olfr734	AC171558.3
Olfr733	AC171558.1
Olfr732	AC171558.1
	AC171558.4
	AL139002.1
	RN7SL810P
	LINC01069
	AP001052.1
	AP001053.1
Cstb	CSTB
	LINC00446
	TMEM97P1
	AL138957.1
	SRGNP1
Rrp1	RRP1
	RNY3P3
	RPL31P54
	ELOCP23
	AL445209.1
Pou4f1	POU4F1
Rnf219	OBI1
	RPL21P111
	LINC00331
	HSPD1P8
	CCT5P2
	NIPA2P5
	BCAS2P3
Rbm26	RBM26
	AATBC
	MYL6P1
Agpat3	AGPAT3
	RNA5SP33
	RBM26-AS1
	NDFIP2-AS1
Ndfip2	NDFIP2
	GCGR
	LINC01068
	AL136442.1
	LINC01038
	RNU6-859P
AC160405.1	AP001054.1
	LINC00382
Gm24178	RNU6-1150P
Gm25982	RNU6-1150P
Gm25886	RNU6-1150P
Trappc10	TRAPPC10
	AL158064.1
	LINC01080
	AL137781.1
Spry2	SPRY2
Gm26378	RNU6-61P
	HNRNPA1P31
	PWWP2AP1
	AL590807.1
	ARF4P4
	LINC00377
	DPPA3P3
	LINC00564
	AL353633.1
	RNU6-77P
	HIGD1AP2
	PTMAP5
	MCRIP1
	AL445255.1
	GYG1P2
	AL512782.1
	RNU6-67P
	AL353688.1
Slitrk1	SLITRK1
	H2AZP1
Pwp2	PWP2
	AL355481.1
	VENTXP2
	AL590681.1
	UBE2D3P4
	AL445604.1
	AL162493.1
	MTND4P1
	MTND5P3
	LINC00333
	AL445588.1
	AL356313.1
	LINC00375
	AL160154.1
	LINC01678
	LINC00351
	AP001056.2
	AP001056.1
	AL356413.1
	AP001057.1
Slitrk6	SLITRK6
	AL162373.1
Icosl	ICOSLG
	MOB1AP1
	AL354994.1
	FO624990.1
	DDX6P2
	AL445207.1
	TXNL1P1
	LINC00430
	UBBP5
	LIN28AP2
	AL360267.2
	AL360267.1
	MIR4500HG
	AP001059.2
	AP001059.1
Dnmt3l	DNMT3L
	AL355578.1
	PPP1R27
	MIR4500
Slitrk5	SLITRK5
	AL445647.2
	LINC00397
	AL445647.1
	TET1P1
	LINC00373
	RPL29P29
	AL355677.1
	DNMT3L-AS1
	LINC00433
Aire	AIRE
	AL445984.2
	AL445984.1
	LINC00560
	GRPEL2P1
	AL162573.1
	LINC00440
	LINC01047
	TRIM60P13
	SP3P
	LINC02336
	LINC01040
Pfkl	PFKL
	LINC00353
	RPL7L1P1
Gm23615	AL355821.1
	PEX12P1
	LINC00559
	RNA5SP34
	FAR1P1
	KRT18P27
	MIR622
	LINC01049
	RNU6-75P
	LINC00410
	BRK1P2
	LINC00380
	LINC00379
	PPIAP23
	MIR17HG
Mir17	MIR17
Mir18	MIR18A
Mir19a	MIR19A
Mir20a	MIR20A
Mir19b-1	MIR19B1
	MIR92A1
Gpc5	GPC5
	AL356118.1
	AL162456.1
	RNU4ATAC3P
	FABP5P4
	AL157815.1
	GPC5-AS2
	AL159152.1
	GPC5-IT1
	MIR548AS
	AL356737.2
	AL356737.1
	GPC5-AS1
	LINC00363
	AL354811.2
	AL354811.1
Gpc6	GPC6
	AL160159.1
	HNRNPA1P29
	GPC6-AS2
	RNA5SP35
	GPC6-AS1
	AP001062.3
Dct	DCT
Cfap410	CFAP410
Tgds	TGDS
	AP001062.1
	AP001062.2
	AP001063.1
Trpm2	TRPM2
Gpr180	GPR180
	RNA5SP36
	LINC00391
	RN7SL585P
	SOX21-AS1
Sox21	SOX21
	BRD7P5
	RPL21P112
	LINC00557
	AL139381.1
	RNU6-62P
Abcc4	ABCC4
	TRPM2-AS
Gm22871	AP001065.2
Gm22394	AP001065.1
	LRRC3-DT
Lrrc3	LRRC3
	MTCYBP21
	MTND6P21
	MTND5P1
	AP001065.3
	LINC02575
	AP001065.4
Tspear	TSPEAR
	TSPEAR-AS1
	TSPEAR-AS2
	AP001066.1
	KRTAP10-1
	KRTAP10-2
	KRTAP10-3
Gm19402	KRTAP10-4
Gm18596	KRTAP10-4
Gm9508	KRTAP10-4
Gm19668	KRTAP10-4
Gm10318	KRTAP10-4
Gm49918	KRTAP10-4
Gm7138	KRTAP10-4
Gm3238	KRTAP10-4
Gm3250	KRTAP10-4
Gm3233	KRTAP10-4
Gm7137	KRTAP10-4
Gm9639	KRTAP10-4
Gm9507	KRTAP10-4
Krtap10-10	KRTAP10-4
Gm3285	KRTAP10-4
Krtap10-4	KRTAP10-4
Gm9736	KRTAP10-4
Gm36176	KRTAP10-4
Krtap1-4	KRTAP10-4
Krtap1-3	KRTAP10-4
Krtap9-3	KRTAP10-4
Gm45618	KRTAP10-4
Gm40460	KRTAP10-4
Krtap5-2	KRTAP10-4
Gm4559	KRTAP10-4
	AC092854.1
	KRTAP10-5
Gm19402	KRTAP10-6
Gm18596	KRTAP10-6
Gm9508	KRTAP10-6
Gm19668	KRTAP10-6
Gm10318	KRTAP10-6
Gm49918	KRTAP10-6
Gm7138	KRTAP10-6
Gm3238	KRTAP10-6
Gm3250	KRTAP10-6
Gm3233	KRTAP10-6
Gm7137	KRTAP10-6
Gm9639	KRTAP10-6
Gm9507	KRTAP10-6
Krtap10-10	KRTAP10-6
Gm3285	KRTAP10-6
Krtap10-4	KRTAP10-6
Gm9736	KRTAP10-6
Gm36176	KRTAP10-6
Gm45618	KRTAP10-6
Gm40460	KRTAP10-6
Krtap5-2	KRTAP10-6
Gm4559	KRTAP10-6
Gm10100	KRTAP10-6
Gm10272	KRTAP10-6
Gm10024	KRTAP10-6
Gm10142	KRTAP10-6
Krtap12-1	KRTAP10-6
	KRTAP10-7
	KRTAP10-8
Gm19402	KRTAP10-9
Gm18596	KRTAP10-9
Gm9508	KRTAP10-9
Gm19668	KRTAP10-9
Gm10318	KRTAP10-9
Gm49918	KRTAP10-9
Gm7138	KRTAP10-9
Gm3238	KRTAP10-9
Gm3250	KRTAP10-9
Gm3233	KRTAP10-9
Gm7137	KRTAP10-9
Gm9639	KRTAP10-9
Gm9507	KRTAP10-9
Krtap10-10	KRTAP10-9
Gm3285	KRTAP10-9
Krtap10-4	KRTAP10-9
Gm9736	KRTAP10-9
Gm36176	KRTAP10-9
Gm45618	KRTAP10-9
Gm40460	KRTAP10-9
Krtap5-2	KRTAP10-9
Gm4559	KRTAP10-9
Gm10100	KRTAP10-9
Gm10272	KRTAP10-9
Gm10024	KRTAP10-9
Gm10142	KRTAP10-9
Krtap12-1	KRTAP10-9
	AC092854.2
	ABCD1P4
	AC137499.2
	PABPC1P9
	SLC9B1P4
	KRTAP10-10
	ACTR3BP6
Gm19402	KRTAP10-11
Gm18596	KRTAP10-11
Gm9508	KRTAP10-11
Gm19668	KRTAP10-11
Gm10318	KRTAP10-11
Gm49918	KRTAP10-11
Gm7138	KRTAP10-11
Gm3238	KRTAP10-11
Gm3250	KRTAP10-11
Gm3233	KRTAP10-11
Gm7137	KRTAP10-11
Gm9639	KRTAP10-11
Gm9507	KRTAP10-11
Krtap10-10	KRTAP10-11
Gm3285	KRTAP10-11
Krtap10-4	KRTAP10-11
Gm9736	KRTAP10-11
Gm36176	KRTAP10-11
Krtap1-4	KRTAP10-11
Krtap1-3	KRTAP10-11
Krtap9-3	KRTAP10-11
Gm45618	KRTAP10-11
Gm40460	KRTAP10-11
Krtap5-2	KRTAP10-11
Gm4559	KRTAP10-11
	KRTAP12-4
	KRTAP12-3
	KRTAP12-2
	IMMTP1
	KRTAP12-1
	RNY3P8
	KRTAP12-6P
	RNY4P27
	MEMO1P5
	KRTAP10-12
Cldn10	CLDN10
	KRTAP10-13P
Ube2g2	UBE2G2
	LILRP1
	CLDN10-AS1
	AC245128.65
	LILRP2
Dzip1	DZIP1
	KIR3DL3
Sumo3	SUMO3
	KP420442.1
	KIR2DL3
	DNAJC3-DT
	KIR2DP1
Dnajc3	DNAJC3
	KIR2DL1
	LINC01424
	MTND5P2
	MTND6P18
	MTCYBP3
	AL138955.1
Uggt2	UGGT2
Itgb2	ITGB2
Itgb2l	ITGB2
	KIR3DP1
	KIR2DL4
	HMGN1P24
Hs6st3	HS6ST3
	RN7SL164P
	MIR4501
	AMMECR1LP1
	HSP90AB6P
	TULP3P1
	AL353581.1
	RN7SKP7
Oxgr1	OXGR1
	LINC00456
Mbnl2	MBNL2
	KIR3DL1
	AL161430.1
	RNA5SP37
	AL442067.3
Rap2a	RAP2A
	AL442067.1
	AL442067.2
	PSMA6P4
	AL359502.1
	AL359502.2
	RPL7AP61
	AL356580.1
Pttg1ip	PTTG1IP
	ITGB2-AS1
	AL844908.2
	LINC01547
	AL844908.1
Fam207a	FAM207A
Ipo5	IPO5
	KIR2DS4
	AP001505.1
	LINC00163
	LINC00165
	PICSAR
	SSR4P1
	KIR3DL2
Adarb1	ADARB1
	FTLP8
Farp1	FARP1
	AL133499.1
	LINC00334
Pofut2	POFUT2
	LINC00205
	BX322557.2
	LINC00315
	BX322557.1
	LINC00316
	MTCO1P3
	BX322559.1
	BX322562.1
	RNF113B
Col18a1	COL18A1
	RN7SKP8
	MIR3170
	AL445223.1
	AL161896.1
	FARP1-AS1
Stk24	STK24
	AL356423.1
	STK24-AS1
	NUS1P4
	CYCSP35
	CALM2P4
	RN7SL60P
Slc15a1	SLC15A1
	AP000676.6
	AP005436.5
	AP005436.6
	AP005436.7
	AP005436.4
	COL18A1-AS2
	COL18A1-AS1
	MIR6815
Slc19a1	SLC19A1
Dock9	DOCK9
	LINC01694
	AL133493.1
	AL133493.2
Pcbp3	PCBP3
	DOCK9-AS1
	AL161420.1
	RPL7L1P12
	RNU6-83P
	DOCK9-DT
	RPS6P23
	UBAC2-AS1
	GAPDHP22
Ubac2	UBAC2
	AL133492.1
	RN7SKP9
	H2AZP3
	PCBP3-AS1
	AJ011931.2
	AJ011931.1
	AJ239328.1
Gpr18	GPR18
	AJ011932.1
Col6a1	COL6A1
Gpr183	GPR183
	MIR623
	HMGB3P4
	CCR12P
	AL136961.1
Tm9sf2	TM9SF2
	LINC01232
	AL139035.1
	LINC00449
	LINC01039
	CFL1P8
	AL139035.2
	AP001476.1
	AP001476.3
	AP001476.2
	PSMA6P3
	AP001471.1
Clybl	CLYBL
Col6a2	COL6A2
	MIR4306
	CLYBL-AS2
	CLYBL-AS1
	AL137139.1
	AL137139.3
	AL137139.2
Zic5	ZIC5
	AL355338.1
Zic2	ZIC2
	LINC00554
	NDUFA12P1
	PCCA-DT
	ASNSP3
Pcca	PCCA
Ftcd	FTCD
	RPL15P18
	AL356575.1
	AL353697.1
